#id,enabled / disabled,event's number,event / answer,chance: weight of happening,"params -- nothing: normal, war: appears at war type",given money (percent of monthly naval budget),budget change,state's wealth change (before multiplier),change of relation with other countries ,change of reputation (from goverment),respect change (anti-unrest),"text of event, or answer (answers after event text)",comment
@name,enabled,number,type,chance,param,money,budget,wealth,relation,reputation,respect,text,#comment
default,1,,,1,,0,0,0,0,0,0,,
1,,1,event,,peace,,,,,,,$event_text_1,
1_a,,,answer,,peace,,,,-3,2,,$event_text_1_a,
1_b,,,answer,,peace,,,,,,,$event_text_1_b,
1_c,,,answer,,peace,,,,5,-2,,$event_text_1_c,
2,,2,event,,peace,,,,,,,$event_text_2,
2_a,,,answer,,peace,,,,-5,3,,$event_text_2_a,
2_b,,,answer,,peace,,,,-10,5,,$event_text_2_b,
2_c,,,answer,,peace,,,,,-3,-2,$event_text_2_c,
3,0,3,event,,peace,,,,,,,$event_text_3,
3_a,0,,answer,,peace,-5,,,,5,5,$event_text_3_a,
3_b,0,,answer,,peace,,,,,,,$event_text_3_b,
3_c,0,,answer,,peace,3,,,,-3,-3,$event_text_3_c,
4,,4,event,0.03,peace,,,,,,,$event_text_4,
4_a,,,answer,,peace,,,,3,,,$event_text_4_a,
4_b,,,answer,,peace,,,,,,1,$event_text_4_b,
4_c,,,answer,,peace,,,,-5,2,2,$event_text_4_c,
5,,5,event,,peace,,,,,,,$event_text_5,
5_a,,,answer,,peace,-1,,,5,-3,-3,$event_text_5_a,
5_b,,,answer,,peace,,,,-5,3,,$event_text_5_b,
5_c,,,answer,,peace,,,,-10,5,1,$event_text_5_c,
6,,6,event,,peace,,,,,,,$event_text_6,
6_a,,,answer,,peace,-30,,,3,5,-3,$event_text_6_a,
6_b,,,answer,,peace,30,,,,-5,2,$event_text_6_b,
6_c,,,answer,,peace,,,,,-1,,$event_text_6_c,
7,,7,event,,peace,,,,,,,$event_text_7,
7_a,,,answer,,peace,60,,,-5,4,2,$event_text_7_a,
7_b,,,answer,,peace,25,,,-3,1,,$event_text_7_b,
7_c,,,answer,,peace,,,,,2,-2,$event_text_7_c,
8,,8,event,,peace,,,,,,,$event_text_8,
8_a,,,answer,,peace,,,,-5,3,,$event_text_8_a,
8_b,,,answer,,peace,,,,2,-3,1,$event_text_8_b,
8_c,,,answer,,peace,,,,,,3,$event_text_8_c,
9,,9,event,0.5,peace,,,,,,,$event_text_9,
9_a,,,answer,,peace,-50,,,-5,5,2,$event_text_9_a,
9_b,,,answer,,peace,,,,2,-5,5,$event_text_9_b,
9_c,,,answer,,peace,,,,-10,,,$event_text_9_c,
10,0,10,event,,peace,,,,,,,$event_text_10,
10_a,0,,answer,,peace,-10,,,-5,3,,$event_text_10_a,
10_b,0,,answer,,peace,-20,,,-10,10,,$event_text_10_b,
10_c,0,,answer,,peace,,,,,-3,2,$event_text_10_c,
11,,11,event,,peace,,,,,,,$event_text_11,
11_a,,,answer,,peace,,,,-5,2,,$event_text_11_a,
11_b,,,answer,,peace,-20,,,-10,5,,$event_text_11_b,
11_c,,,answer,,peace,,,,,-2,5,$event_text_10_c,
12,,12,event,,peace,,,,,,,$event_text_12,
12_a,,,answer,,peace,,,,-5,1,,$event_text_12_a,
12_b,,,answer,,peace,-25,,,-15,5,,$event_text_12_b,
12_c,,,answer,,peace,,,,,-5,3,$event_text_10_c,
13,,13,event,,peace,,,,,,,$event_text_13,
13_a,,,answer,,peace,,1.5,-1.5,-5,5,5,$event_text_13_a,
13_b,,,answer,,peace,,,,,-5,3,$event_text_13_b,
13_c,,,answer,,peace,,-1.5,1.5,2,2,-5,$event_text_13_c,
14,,14,event,,peace,,,,,,,$event_text_14,
14_a,,,answer,,peace,50,1.5,-1.5,-5,,3,$event_text_14_a,
14_b,,,answer,,peace,-75,-2.5,2.75,-1,2,1,$event_text_14_b,
14_c,,,answer,,peace,-10,-1.25,,,1,-10,$event_text_14_c,
15,,15,event,,peace,,,,,,,$event_text_15,
15_a,,,answer,,peace,,,,,-3,3,$event_text_15_a,
15_b,,,answer,,peace,-25,-1.5,,,1,-1,$event_text_15_b,
15_c,,,answer,,peace,,,,,-10,-4,$event_text_15_c,
16,,16,event,,peace,,,,,,,$event_text_16,
16_a,,,answer,,peace,,,,-3,4,,$event_text_16_a,
16_b,,,answer,,peace,50,,,,,2,$event_text_16_b,
16_c,,,answer,,peace,,,,,1,-2,$event_text_16_c,
17,,17,event,0.5,peace,,,,,,,$event_text_17,
17_a,,,answer,,peace,,,,,-3,2,$event_text_17_a,
