#id,name for ui,enabled / disabled,is playable or else grayed button,description for briefing,"detailed description (if necessary, can be empty)",picture for ui,time limit,money limit for shipbuilding,"victory condition:
sink - sink all enemies;
kill(percent), kill(percent;type) - kill percent of all enemies, or of specific ship type;
close - close up to enemy flagman;
survive - dont lose all ships during duration of mission;
protect(percent), protect(percent;type) - protect percent of all allies, or of specific ship type",allowed hulls to use (param: hull-size-ratio),limit amount of main built ship,"addiotional ally ship, same as ""enemyHulls""",generate ships at this year,"enemy ship hulls to use (params: amount, hull-size-ratio)",generate enemy at this year,distance to enemy,starting spread of divisions,"custom params:
dont_move - enemy will stay not moving;
dont_move_player - player will be immobile;
run_away - enemy will run away;
move_aside - enemy will move sideway, at 90 deg from initial dir to player;
armor(x) - enemy will have x armor (for belt, other scaled);
speed(x) - enemy will have s knots speed;
no_retreat - ai will not retreat;
dont_shoot(player/enemy/both) - do not shot anything (for player/enemy/both);
dont_shoot_guns(player/enemy/both)- do not shot guns (same);
dont_shoot_torpedoes(player/enemy/both) - do not shot torpedoes (same);
random_pos - random enemy position (direction of placement);
weather(w) - set specific weather;
acc(w...) - use these accuracies weather (several);
country_player(c), country_enemy(c) - specific countries for human/enemy;
range(r;h...) - place these hulls at range r;
damage(d;h...) - damage these hulls by percent d;",,,,tooltip for each choice,,see previous,,see previous,,see previous,list of choices at mission start,see previous,see previous,see previous,enemy limits for easy/normal difficulty: caliber (inch),,armor (mm),,speed (knots),,+money,,,,,
@name,nameUi,enabled,playable,goal,desc,image,time,money,win,hulls,shipsLimit,allyHulls,year,enemyHulls,enemyYear,distance,spread,param,distanceTravelled,distanceTravelledAi,ss1,tt1,ss2,tt2,ss3,tt3,ss4,tt4,ch1,ch2,ch3,ch4,easyCaliber,normalCaliber,easyArmor,normalArmor,easySpeed,normalSpeed,easyMoney,normalMoney,#comment,#comment2,#Money Base,#Money Modified
default,,1,1,,,,0,0,sink,,30,,-1,,,0,400,,3000,3000,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,0,0,,,,
target_practice_1,$MissionData_Name_target_practice_1,,,$MissionData_Goal_target_practice_1,$MissionData_Desc_target_practice_1,_GameTip_Battleship_SplashFiring,12:00,55000000,,b_2,1,,1890,b_2_usa(1;1),1905,1200,500,"dont_move, dont_shoot_torpedoes(both), dont_shoot(enemy), armor(279.4)",6000,4000,$MissionData_ss1_target_practice_1,$MissionData_tt1_target_practice_1,$MissionData_ss2_target_practice_1,$MissionData_tt2_target_practice_1,$MissionData_ss3_target_practice_1,$MissionData_tt3_target_practice_1,$MissionData_Goal_ironclad_3,$MissionData_Goal_ironclad_3,tech(gun_sec;10),tech(gun_main;10),"tech(gun_sec;4), tech(gun_main;5), tech(projectile_explosive;2)",,,,,,,,,,"clear_1 2 3
cloudy_1
overcast_1 2 3 4

weather_clear
weather_cloud
weather_overcast
weather_rain
weather_storm",damage(15;bb_5_bismarck),50000000,65000000
ironclad_2,$MissionData_Name_ironclad_2,,1,$MissionData_Goal_ironclad_2,$MissionData_Desc_ironclad_2,USS_Monitor,90:00,3500000,,ironclad_monitor(0.1),2,,1890,ironclad_virginia(1;1),1890,750,100,"crutch_wl, crutch_ironclad, no_retreat, country_player(usa), country_enemy(spain), flag_enemy(confederacy), no_evasion",100,100,$MissionData_ss1_ironclad_1,$MissionData_tt1_ironclad_2,$compTypes_name_armor,$MissionData_tt2_ironclad_2,$Ui_World_PopWindows_Speed,$MissionData_tt3_ironclad_2,$MissionData_ss1_complex_test_6,$MissionData_tt4_ironclad_2,"tech(projectile_explosive;3),  tech(projectile_shell;3)","tech(armor_quality;2), tech(armor_forging;2), tech(hull_strength;2), tech(surv_internal;2)","tech(engine_engine;2), tech(engine_boiler;2), tech(engine_special;2) ",money(+400000),,,,,,,,,,,3100000,4000000
ironclad_1,$MissionData_Name_ironclad_1,,1,$MissionData_Goal_ironclad_1,$MissionData_Desc_ironclad_1,CSS_Virginia,105:00,12000000,,ironclad_virginia,2,,1890,ironclad_monitor(1;1),1890,750,100,"crutch_wl, crutch_ironclad, no_retreat, country_player(spain), flag_player(confederacy), country_enemy(usa), no_evasion",100,100,$MissionData_ss1_ironclad_1,$MissionData_tt1_ironclad_2,$compTypes_name_armor,$MissionData_tt2_ironclad_2,$Ui_World_PopWindows_Speed,$MissionData_tt3_ironclad_2,$MissionData_ss1_complex_test_6,$MissionData_tt4_ironclad_2,"tech(projectile_explosive;3),  tech(projectile_shell;3)","tech(armor_quality;2), tech(armor_forging;2), tech(hull_strength;2), tech(surv_internal;2)","tech(engine_engine;2), tech(engine_boiler;2), tech(engine_special;2) ",money(+600000),,,,,,,,,,,11300000,14700000
